old_name,new_name
a3AL1_FKDL202605679-1a-D705-AK1680_HMF7CDRXX_L2_2.fq,2044_R2.fastq
a40AL1_FKDL202605679-1a-D706-AK1543_HMF7CDRXX_L2_1.fq,2045_R1.fastq
a40AL1_FKDL202605679-1a-D706-AK1543_HMF7CDRXX_L2_2.fq,2045_R2.fastq
a41AL1_FKDL202605679-1a-D707-AK1543_HMF7CDRXX_L2_1.fq,2046_R1.fastq
a41AL1_FKDL202605679-1a-D707-AK1543_HMF7CDRXX_L2_2.fq,2046_R2.fastq
a42AL1_FKDL202605679-1a-D707-AK1544_HMF7CDRXX_L2_1.fq,2047_R1.fastq
a42AL1_FKDL202605679-1a-D707-AK1544_HMF7CDRXX_L2_2.fq,2047_R2.fastq
a43AL1_FKDL202605679-1a-D706-AK1544_HMF7CDRXX_L2_1.fq,2048_R1.fastq
a43AL1_FKDL202605679-1a-D706-AK1544_HMF7CDRXX_L2_2.fq,2048_R2.fastq
a44AL1_FKDL202605679-1a-D706-AK1545_HMF7CDRXX_L2_1.fq,2049_R1.fastq
a44AL1_FKDL202605679-1a-D706-AK1545_HMF7CDRXX_L2_2.fq,2049_R2.fastq
a45AL1_FKDL202605679-1a-D706-AK1546_HMF7CDRXX_L2_1.fq,2050_R1.fastq
a45AL1_FKDL202605679-1a-D706-AK1546_HMF7CDRXX_L2_2.fq,2050_R2.fastq
a59AL1_FKDL202605679-1a-D707-AK1545_HMF7CDRXX_L2_1.fq,2055_R1.fastq
a59AL1_FKDL202605679-1a-D707-AK1545_HMF7CDRXX_L2_2.fq,2055_R2.fastq
a65AL2_FKDL202605679-1a-D702-AK1680_HMF7CDRXX_L2_1.fq,2058_R1.fastq
a65AL2_FKDL202605679-1a-D702-AK1680_HMF7CDRXX_L2_2.fq,2058_R2.fastq
a66AL2_FKDL202605679-1a-D702-AK1681_HMF7CDRXX_L2_1.fq,2059_R1.fastq
a66AL2_FKDL202605679-1a-D702-AK1681_HMF7CDRXX_L2_2.fq,2059_R2.fastq
a67AL1_FKDL202605679-1a-D707-AK1546_HMF7CDRXX_L2_1.fq,2060_R1.fastq
a67AL1_FKDL202605679-1a-D707-AK1546_HMF7CDRXX_L2_2.fq,2060_R2.fastq
a68AL2_FKDL202605679-1a-D702-AK1682_HMF7CDRXX_L2_1.fq,2061_R1.fastq
a68AL2_FKDL202605679-1a-D702-AK1682_HMF7CDRXX_L2_2.fq,2061_R2.fastq
a69AL2_FKDL202605679-1a-D702-AK1780_HMF7CDRXX_L2_1.fq,2062_R1.fastq
a69AL2_FKDL202605679-1a-D702-AK1780_HMF7CDRXX_L2_2.fq,2062_R2.fastq
a70AL2_FKDL202605679-1a-D702-AK1543_HMF7CDRXX_L2_1.fq,2063_R1.fastq
a70AL2_FKDL202605679-1a-D702-AK1543_HMF7CDRXX_L2_2.fq,2063_R2.fastq
a71AL2_FKDL202605679-1a-D702-AK1544_HMF7CDRXX_L2_1.fq,2064_R1.fastq
a71AL2_FKDL202605679-1a-D702-AK1544_HMF7CDRXX_L2_2.fq,2064_R2.fastq
a72AL2_FKDL202605679-1a-D702-AK1545_HMF7CDRXX_L2_1.fq,2065_R1.fastq
a72AL2_FKDL202605679-1a-D702-AK1545_HMF7CDRXX_L2_2.fq,2065_R2.fastq
a73AL2_FKDL202605679-1a-D702-AK1546_HMF7CDRXX_L2_1.fq,2066_R1.fastq
a73AL2_FKDL202605679-1a-D702-AK1546_HMF7CDRXX_L2_2.fq,2066_R2.fastq
a74AL1_FKDL202605679-1a-D704-AK1546_HMF7CDRXX_L2_1.fq,2067_R1.fastq
a74AL1_FKDL202605679-1a-D704-AK1546_HMF7CDRXX_L2_2.fq,2067_R2.fastq
a7AL1_FKDL202605679-1a-D705-AK1681_HMF7CDRXX_L2_1.fq,2068_R1.fastq
a7AL1_FKDL202605679-1a-D705-AK1681_HMF7CDRXX_L2_2.fq,2068_R2.fastq
a9AL1_FKDL202605679-1a-D705-AK1682_HMF7CDRXX_L2_1.fq,2069_R1.fastq
a9AL1_FKDL202605679-1a-D705-AK1682_HMF7CDRXX_L2_2.fq,2069_R2.fastq
19AL1_L_borne_1.fastq,3000_R1.fastq
19AL1_L_borne_2.fastq,3000_R2.fastq
28AL1_L_dista_1.fastq,3002_R1.fastq
28AL1_L_dista_2.fastq,3002_R2.fastq
29AL1_L_mergu_1.fastq,3004_R1.fastq
29AL1_L_mergu_2.fastq,3004_R2.fastq
321AL1_B_macha_1.fastq,3006_R1.fastq
321AL1_B_macha_2.fastq,3006_R2.fastq
322AL1_L_lonta_1.fastq,3008_R1.fastq
